Par1,Par2,Particle,Path,Vg11,Vg12,Vg21,Vg22
3,4,4,c'-x2-m,O,O,O,O
3,4,3,c-c'-x2-e',O,O,O,O
3,4,4,m-x2-c'-c,O,O,O,O
3,4,3,e'-x2-c',O,O,O,O
3,5,3,c'-x2-m,O,O,O,O
3,5,6,d'-x2-e',O,O,S,O
3,5,5,d-d'-x2-c',O,O,O,S
3,5,3,m-x2-d'-d,O,O,O,O
3,5,6,e'-x2-d',O,O,O,O
1,2,2,a'-x1-b',O,O,O,O
1,2,1,a-a'-x1-f',O,O,O,O
1,2,2,b'-x1-a'-a,O,O,O,O
1,2,1,f'-x1-a',O,O,O,O
4,5,5,c'-x2-m,O,O,O,O
4,5,4,c-c'-x2-e',O,O,O,O
4,5,5,m-x2-c'-c,O,O,O,O
4,5,4,e'-x2-c',O,O,O,O
3,6,6,d'-x2-m,O,O,O,O
3,6,3,d-d'-x2-e',O,O,O,O
3,6,6,m-x2-d'-d,O,O,O,O
3,6,3,e'-x2-d',O,O,O,O
4,6,4,c'-x2-m,O,O,O,O
4,6,3,d'-x2-e',O,O,S,O
4,6,6,d-d'-x2-c',O,O,O,S
4,6,4,m-x2-d'-d,O,O,O,O
4,6,3,e'-x2-d',O,O,O,O
5,6,6,c'-x2-m,O,O,O,O
5,6,5,c-c'-x2-e',O,O,O,O
5,6,6,m-x2-c'-c,O,O,O,O
5,6,5,e'-x2-c',O,O,O,O
