Par1,Par2,P1,P2,P3,P4,P5,P6,Vg11,Vg12,Vg21,Vg22
3,4,a,a',c,c',d,d',O,O,O,O
3,4,a,a',c,x2,d,d',O,O,O,O
3,4,a,a',c,m,d,d',O,O,O,O
3,4,a,a',c,m,d,d',O,O,O,O
3,4,a,a',c',m,d,d',O,O,O,O
3,4,a,a',x2,m,d,d',O,O,O,O
3,4,a,a',e',m,d,d',O,O,O,O
3,4,a,a',e',m,d,d',O,O,O,O
3,4,a,a',e',x2,d,d',O,O,O,O
3,4,a,a',e',c',d,d',O,O,O,O
3,4,a,a',e',c,d,d',O,O,O,O
3,4,a,a',e',c,d,d',O,O,O,O
3,4,a,a',x2,c,d,d',O,O,O,O
3,4,a,a',c',c,d,d',O,O,O,O
3,5,a,a',c',c,d,d',O,O,O,O
3,5,a,a',x2,c,d,d',O,O,O,O
3,5,a,a',m,c,d,d',O,O,O,O
3,5,a,a',m,c,d,d',O,O,S,O
3,5,a,a',m,c,d,x2,O,O,S,O
3,5,a,a',m,c,d,e',O,O,S,O
3,5,a,a',m,c,d,e',O,O,O,S
3,5,a,a',m,c,d',e',O,O,O,S
3,5,a,a',m,c,x2,e',O,O,O,S
3,5,a,a',m,c,c',e',O,O,O,S
3,5,a,a',m,c,c',e',O,O,O,O
3,5,a,a',x2,c,c',e',O,O,O,O
3,5,a,a',d',c,c',e',O,O,O,O
3,5,a,a',d,c,c',e',O,O,O,O
3,5,a,a',d,c,c',e',O,O,O,O
3,5,a,a',d,c,c',x2,O,O,O,O
3,5,a,a',d,c,c',d',O,O,O,O
1,2,a,a',d,c,c',d',O,O,O,O
1,2,a,x1,d,c,c',d',O,O,O,O
1,2,a,b',d,c,c',d',O,O,O,O
1,2,a,b',d,c,c',d',O,O,O,O
1,2,a',b',d,c,c',d',O,O,O,O
1,2,x1,b',d,c,c',d',O,O,O,O
1,2,f',b',d,c,c',d',O,O,O,O
1,2,f',b',d,c,c',d',O,O,O,O
1,2,f',x1,d,c,c',d',O,O,O,O
1,2,f',a',d,c,c',d',O,O,O,O
1,2,f',a,d,c,c',d',O,O,O,O
1,2,f',a,d,c,c',d',O,O,O,O
1,2,x1,a,d,c,c',d',O,O,O,O
1,2,a',a,d,c,c',d',O,O,O,O
4,5,a',a,d,c,c',d',O,O,O,O
4,5,a',a,d,c,x2,d',O,O,O,O
4,5,a',a,d,c,m,d',O,O,O,O
4,5,a',a,d,c,m,d',O,O,O,O
4,5,a',a,d,c',m,d',O,O,O,O
4,5,a',a,d,x2,m,d',O,O,O,O
4,5,a',a,d,e',m,d',O,O,O,O
4,5,a',a,d,e',m,d',O,O,O,O
4,5,a',a,d,e',x2,d',O,O,O,O
4,5,a',a,d,e',c',d',O,O,O,O
4,5,a',a,d,e',c,d',O,O,O,O
4,5,a',a,d,e',c,d',O,O,O,O
4,5,a',a,d,x2,c,d',O,O,O,O
4,5,a',a,d,c',c,d',O,O,O,O
3,6,a',a,d,c',c,d',O,O,O,O
3,6,a',a,d,c',c,x2,O,O,O,O
3,6,a',a,d,c',c,m,O,O,O,O
3,6,a',a,d,c',c,m,O,O,O,O
3,6,a',a,d',c',c,m,O,O,O,O
3,6,a',a,x2,c',c,m,O,O,O,O
3,6,a',a,e',c',c,m,O,O,O,O
3,6,a',a,e',c',c,m,O,O,O,O
3,6,a',a,e',c',c,x2,O,O,O,O
3,6,a',a,e',c',c,d',O,O,O,O
3,6,a',a,e',c',c,d,O,O,O,O
3,6,a',a,e',c',c,d,O,O,O,O
3,6,a',a,x2,c',c,d,O,O,O,O
3,6,a',a,d',c',c,d,O,O,O,O
4,6,a',a,d',c',c,d,O,O,O,O
4,6,a',a,d',x2,c,d,O,O,O,O
4,6,a',a,d',m,c,d,O,O,O,O
4,6,a',a,d',m,c,d,O,O,S,O
4,6,a',a,x2,m,c,d,O,O,S,O
4,6,a',a,e',m,c,d,O,O,S,O
4,6,a',a,e',m,c,d,O,O,O,S
4,6,a',a,e',m,c,d',O,O,O,S
4,6,a',a,e',m,c,x2,O,O,O,S
4,6,a',a,e',m,c,c',O,O,O,S
4,6,a',a,e',m,c,c',O,O,O,O
4,6,a',a,e',x2,c,c',O,O,O,O
4,6,a',a,e',d',c,c',O,O,O,O
4,6,a',a,e',d,c,c',O,O,O,O
4,6,a',a,e',d,c,c',O,O,O,O
4,6,a',a,x2,d,c,c',O,O,O,O
4,6,a',a,d',d,c,c',O,O,O,O
5,6,a',a,d',d,c,c',O,O,O,O
5,6,a',a,d',d,c,x2,O,O,O,O
5,6,a',a,d',d,c,m,O,O,O,O
5,6,a',a,d',d,c,m,O,O,O,O
5,6,a',a,d',d,c',m,O,O,O,O
5,6,a',a,d',d,x2,m,O,O,O,O
5,6,a',a,d',d,e',m,O,O,O,O
5,6,a',a,d',d,e',m,O,O,O,O
5,6,a',a,d',d,e',x2,O,O,O,O
5,6,a',a,d',d,e',c',O,O,O,O
5,6,a',a,d',d,e',c,O,O,O,O
5,6,a',a,d',d,e',c,O,O,O,O
5,6,a',a,d',d,x2,c,O,O,O,O
5,6,a',a,d',d,c',c,O,O,O,O
